"","Code","MonthYear","VC","MC","VV","MV","N","Sum","Srat"
"1","AG",199001,0,0,0,0,196,0,0
"2","AG",199002,2,0,0,0,128,2,0.015625
"3","AG",199003,5,0,0,1,234,6,0.0256410256410256
"4","AG",199004,3,0,0,0,124,3,0.0241935483870968
"5","AG",199005,6,0,1,0,234,7,0.0299145299145299
"6","AG",199006,2,0,0,0,388,2,0.00515463917525773
"7","AG",199007,0,0,0,0,191,0,0
"8","AG",199008,1,0,0,0,306,1,0.00326797385620915
"9","AG",199009,0,0,1,0,206,1,0.00485436893203883
"10","AG",199010,0,0,1,0,175,1,0.00571428571428571
"11","AG",199011,4,0,0,0,210,4,0.019047619047619
"12","AG",199012,0,0,0,0,517,0,0
"13","AG",199101,0,0,0,0,653,0,0
"14","AG",199102,0,0,0,0,444,0,0
"15","AG",199103,2,1,0,0,308,3,0.00974025974025974
"16","AG",199104,0,0,0,0,244,0,0
"17","AG",199105,5,1,2,0,266,8,0.0300751879699248
"18","AG",199106,12,3,3,0,894,18,0.0201342281879195
"19","AG",199107,3,2,6,1,777,12,0.0154440154440154
"20","AG",199108,1,0,2,3,444,6,0.0135135135135135
"21","AG",199109,3,0,4,0,661,7,0.010590015128593
"22","AG",199110,0,0,3,0,224,3,0.0133928571428571
"23","AG",199111,0,0,0,1,238,1,0.00420168067226891
"24","AG",199112,12,1,4,3,488,20,0.040983606557377
"25","AG",199201,30,1,9,5,1579,45,0.0284990500316656
"26","AG",199202,0,0,0,0,368,0,0
"27","AG",199203,1,0,4,0,326,5,0.0153374233128834
"28","AG",199204,6,0,0,0,474,6,0.0126582278481013
"29","AG",199205,0,0,0,0,315,0,0
"30","AG",199206,4,0,0,2,490,6,0.0122448979591837
"31","AG",199207,3,0,0,1,310,4,0.0129032258064516
"32","AG",199208,0,0,0,0,156,0,0
"33","AG",199209,0,0,2,0,79,2,0.0253164556962025
"34","AG",199210,0,1,0,0,127,1,0.0078740157480315
"35","AG",199211,0,0,0,0,118,0,0
"36","AG",199212,1,0,0,2,203,3,0.0147783251231527
"37","AG",199301,1,0,2,1,292,4,0.0136986301369863
"38","AG",199302,0,0,1,2,342,3,0.0087719298245614
"39","AG",199303,0,0,0,1,344,1,0.00290697674418605
"40","AG",199304,1,0,0,2,266,3,0.0112781954887218
"41","AG",199305,1,0,0,5,371,6,0.0161725067385445
"42","AG",199306,0,0,1,0,362,1,0.00276243093922652
"43","AG",199307,2,0,0,0,337,2,0.00593471810089021
"44","AG",199308,0,0,0,0,272,0,0
"45","AG",199309,2,1,0,2,141,5,0.0354609929078014
"46","AG",199310,2,0,1,0,279,3,0.010752688172043
"47","AG",199311,5,0,1,1,498,7,0.0140562248995984
"48","AG",199312,1,0,0,0,703,1,0.00142247510668563
"49","AG",199401,10,3,1,10,921,24,0.0260586319218241
"50","AG",199402,0,1,0,3,728,4,0.00549450549450549
"51","AG",199403,5,4,1,22,1104,32,0.0289855072463768
"52","AG",199404,1,0,0,0,333,1,0.003003003003003
"53","AG",199405,4,0,0,1,271,5,0.018450184501845
"54","AG",199406,0,0,1,2,444,3,0.00675675675675676
"55","AG",199407,2,0,1,8,829,11,0.0132689987937274
"56","AG",199408,12,1,4,9,1333,26,0.0195048762190548
"57","AG",199409,16,2,6,6,1216,30,0.0246710526315789
"58","AG",199410,3,0,2,15,1132,20,0.0176678445229682
"59","AG",199411,12,1,7,26,1308,46,0.0351681957186544
"60","AG",199412,1,3,0,3,1148,7,0.00609756097560976
"61","AG",199501,8,1,3,9,1162,21,0.0180722891566265
